DAUID,Province,DA Population,Residential Instability,Ethno-cultural Composition,Economic Dependency,Situational Vulnerability
10010730,Newfoundland & Labrador,225,-0.969,-0.921,2.595,0.355
10010731,Newfoundland & Labrador,220,-0.488,-1.119,2.763,0.32
10010732,Newfoundland & Labrador,45,-0.384,-1.233,1.368,1.006
10010733,Newfoundland & Labrador,65,0.111,-1.113,3.582,-0.308
10010734,Newfoundland & Labrador,70,-0.745,-1.278,3.097,-0.106
10010735,Newfoundland & Labrador,250,-0.557,-1.08,2.451,0.356
10010736,Newfoundland & Labrador,155,-0.344,-0.66,2.398,1.784
10010737,Newfoundland & Labrador,410,-0.788,-0.797,1.79,-0.06
10010738,Newfoundland & Labrador,250,-0.055,-1.231,1.364,0.26
10010740,Newfoundland & Labrador,320,-0.615,-0.974,1.588,0.234
10010741,Newfoundland & Labrador,675,-0.73,-0.791,0.622,-0.024
10010742,Newfoundland & Labrador,545,-0.591,-0.774,0.773,0.139
10010743,Newfoundland & Labrador,285,-0.07,-1.08,0.824,-0.447
10010744,Newfoundland & Labrador,340,-0.728,-0.965,2.681,0.367
10010745,Newfoundland & Labrador,85,-0.784,-1.064,4.537,-0.707
10010746,Newfoundland & Labrador,90,-0.846,-1.072,0.63,-0.381
10010747,Newfoundland & Labrador,165,0.274,-0.97,0.261,-0.481
10010748,Newfoundland & Labrador,350,0.17,-0.909,1.158,0.158
10010749,Newfoundland & Labrador,90,-1.051,-1.104,0.243,-0.219
10010750,Newfoundland & Labrador,360,-0.41,-1.022,0.305,0.286
10010751,Newfoundland & Labrador,205,-0.462,-1.163,1.361,-0.793
10010752,Newfoundland & Labrador,260,-0.188,-1.042,0.525,0.617
10010753,Newfoundland & Labrador,465,-0.602,-1.074,0.008,-0.229
10010754,Newfoundland & Labrador,180,-0.008,-0.916,2.579,0.273
10010755,Newfoundland & Labrador,230,-0.878,-0.74,0.853,0.263
10010756,Newfoundland & Labrador,310,0.668,-1.084,2.347,0.242
10010757,Newfoundland & Labrador,200,0.201,-1.301,2.783,-0.564
10010758,Newfoundland & Labrador,310,0.527,-0.594,2.003,0.016
10010759,Newfoundland & Labrador,205,-0.137,-0.943,1.11,-0.068
10010760,Newfoundland & Labrador,595,-0.53,-0.918,2.236,0.379
10010761,Newfoundland & Labrador,675,-0.931,-0.865,0.69,-0.294
10010762,Newfoundland & Labrador,725,-0.85,-0.767,0.736,0.332
10010764,Newfoundland & Labrador,515,-0.605,-0.896,0.903,0.077
10010765,Newfoundland & Labrador,460,-0.27,-0.748,1.462,0.321
10010766,Newfoundland & Labrador,510,-0.753,-0.621,0.984,0.31
10010767,Newfoundland & Labrador,445,-0.36,-0.931,1.637,0.345
10010768,Newfoundland & Labrador,825,-0.471,-0.758,-0.488,0.233
10010769,Newfoundland & Labrador,1085,-0.536,-0.772,-0.784,-0.347
10010770,Newfoundland & Labrador,415,-0.587,-0.926,0.326,-0.325
10010771,Newfoundland & Labrador,775,-0.985,-0.911,-1.125,-0.656
10010772,Newfoundland & Labrador,830,-1.12,-0.802,-1.099,-0.694
10010773,Newfoundland & Labrador,385,0.91,-0.503,-0.156,0.452
10010774,Newfoundland & Labrador,275,0.546,-0.646,0.041,0.078
10010776,Newfoundland & Labrador,810,-1.113,-0.93,-1.399,-0.597
10010777,Newfoundland & Labrador,820,-1.006,-0.904,-1.114,-1.075
10010778,Newfoundland & Labrador,570,-0.735,-0.785,-0.256,-0.575
10010779,Newfoundland & Labrador,420,-0.155,-0.806,-0.233,0.426
10010780,Newfoundland & Labrador,465,-0.274,-0.997,0.035,-0.038
10010781,Newfoundland & Labrador,1590,-1.064,-0.966,-1.481,-0.523
10010782,Newfoundland & Labrador,505,-0.562,-0.743,-0.558,-0.102
10010783,Newfoundland & Labrador,395,-0.388,-1.001,0.598,-0.56
10010784,Newfoundland & Labrador,360,0.041,-0.794,-0.624,0.345
10010785,Newfoundland & Labrador,1080,-0.536,-0.782,-0.655,-0.312
10010786,Newfoundland & Labrador,585,-0.902,-0.853,-0.411,-0.355
10010787,Newfoundland & Labrador,985,-1.088,-0.844,-1.218,-0.51
10010788,Newfoundland & Labrador,315,-0.422,-0.987,-0.12,-0.113
10010789,Newfoundland & Labrador,720,-0.902,-0.974,-0.324,-0.232
10010790,Newfoundland & Labrador,950,-0.649,-0.87,0.436,-0.159
10010791,Newfoundland & Labrador,385,-0.282,-0.894,-0.275,-0.133
10010792,Newfoundland & Labrador,960,-0.848,-0.862,-0.546,-0.504
10010793,Newfoundland & Labrador,860,-0.963,-0.74,-1.017,-0.508
10010794,Newfoundland & Labrador,525,-1.176,-0.803,-0.487,-0.983
10010795,Newfoundland & Labrador,525,-1.008,-0.928,-0.843,-0.305
10010796,Newfoundland & Labrador,495,-0.774,-0.92,-0.254,-0.468
10010798,Newfoundland & Labrador,600,-0.972,-0.882,-1.168,-0.567
10010799,Newfoundland & Labrador,525,-1.166,-0.795,0.345,-0.411
10010800,Newfoundland & Labrador,680,-0.529,-0.937,-0.267,-0.125
10010801,Newfoundland & Labrador,2075,-1.154,-0.746,-1.255,-0.614
10010802,Newfoundland & Labrador,605,-0.711,-0.837,-0.763,-0.342
10010803,Newfoundland & Labrador,685,-0.953,-1.008,-0.947,-0.682
10010804,Newfoundland & Labrador,1600,-0.398,-0.835,-1.75,-0.474
10010805,Newfoundland & Labrador,835,-0.6,-1.03,-0.844,-0.405
10010806,Newfoundland & Labrador,320,-0.499,-0.813,0.344,0.038
10010807,Newfoundland & Labrador,410,0.048,-0.731,2.243,0.966
10010808,Newfoundland & Labrador,365,0.35,-0.799,2.761,1.621
10010809,Newfoundland & Labrador,350,-0.353,-0.936,1.34,0.229
10010810,Newfoundland & Labrador,330,0.241,-0.784,3.393,1.925
10010811,Newfoundland & Labrador,350,-0.126,-0.561,3.171,1.384
10010813,Newfoundland & Labrador,1065,0.23,-0.487,-0.997,-0.192
10010814,Newfoundland & Labrador,1045,-0.031,-0.849,-0.727,-0.478
10010815,Newfoundland & Labrador,660,1.69,0.642,-0.222,0.32
10010817,Newfoundland & Labrador,1625,-0.498,-0.963,-1.454,-0.647
10010818,Newfoundland & Labrador,815,-0.605,-0.958,-1.183,-0.741
10010820,Newfoundland & Labrador,505,-0.849,-0.914,-1.136,-0.349
10010821,Newfoundland & Labrador,435,-1.149,-0.754,-1.696,-0.511
10010822,Newfoundland & Labrador,305,-0.48,-0.947,0.528,-0.357
10010823,Newfoundland & Labrador,420,-0.145,-0.662,-0.192,0.14
10010824,Newfoundland & Labrador,1330,-0.339,-0.866,-0.736,-0.153
10010827,Newfoundland & Labrador,1895,-0.83,-0.865,-1.708,-0.593
10010828,Newfoundland & Labrador,970,-1.113,-0.864,-1.04,-0.675
10010830,Newfoundland & Labrador,1330,-0.32,-0.844,-1.596,-0.716
10010832,Newfoundland & Labrador,445,-0.218,-0.897,-0.084,0.011
10010833,Newfoundland & Labrador,3030,-0.492,-0.905,-1.384,-0.554
10010834,Newfoundland & Labrador,1665,0.44,-0.7,-1.121,-0.282
10010835,Newfoundland & Labrador,845,0.67,-0.482,-1.835,-0.717
10010836,Newfoundland & Labrador,1230,-0.189,-0.256,-1.646,-0.413
10010837,Newfoundland & Labrador,1350,-1.24,-0.605,-1.101,-0.91
10010838,Newfoundland & Labrador,965,-1.193,-0.668,-0.659,-1.249
10010839,Newfoundland & Labrador,1140,-0.592,-0.396,-1.381,-0.422
10010840,Newfoundland & Labrador,1140,-0.221,-0.439,-0.899,-0.417
10010841,Newfoundland & Labrador,1225,-0.407,-0.891,-1.489,-0.702
10010842,Newfoundland & Labrador,825,-0.821,-0.823,-2.063,-0.98
10010844,Newfoundland & Labrador,420,-0.922,-0.992,-1.508,-0.938
10010846,Newfoundland & Labrador,1270,-0.076,-0.998,-0.567,-0.764
10020079,Newfoundland & Labrador,550,-0.768,-1.014,1.93,0.095
10020081,Newfoundland & Labrador,470,-0.75,-0.961,1.794,0.412
10020082,Newfoundland & Labrador,175,-0.736,-1.177,1.199,-0.153
10020083,Newfoundland & Labrador,220,-0.679,-0.881,1.648,0.673
10020084,Newfoundland & Labrador,140,-0.82,-0.842,0.777,0.108
10020085,Newfoundland & Labrador,265,-0.212,-1.025,1.708,0.561
10020086,Newfoundland & Labrador,160,-1.356,-0.776,2.089,0.757
10020087,Newfoundland & Labrador,60,0.082,-0.771,1.169,2.466
10020088,Newfoundland & Labrador,225,-0.216,-1.093,2.446,0.393
10020089,Newfoundland & Labrador,435,-0.728,-1.05,2.638,-0.022
10020091,Newfoundland & Labrador,455,-1.083,-0.711,1.663,0.947
10020092,Newfoundland & Labrador,140,-0.9,-0.663,1.297,1.568
10020093,Newfoundland & Labrador,180,-1.006,-0.49,2.017,1.231
10020094,Newfoundland & Labrador,545,-0.991,-0.971,1.227,-0.178
10020095,Newfoundland & Labrador,150,-0.489,-0.883,1.821,0.276
10020096,Newfoundland & Labrador,370,-0.802,-0.935,-0.242,-0.364
10020097,Newfoundland & Labrador,480,-0.404,-0.7,-0.589,0.146
10020098,Newfoundland & Labrador,965,-0.082,-0.857,1.103,0.238
10020099,Newfoundland & Labrador,740,-0.183,-0.761,1.487,-0.188
10020100,Newfoundland & Labrador,425,-0.371,-0.771,1.747,0.345
10020101,Newfoundland & Labrador,485,0.167,-0.917,0.661,0.299
10020102,Newfoundland & Labrador,310,-0.164,-0.719,1.312,0.792
10020103,Newfoundland & Labrador,355,0.395,-0.676,1.983,0.77
10020104,Newfoundland & Labrador,465,-0.352,-0.839,0.899,0.368
10020105,Newfoundland & Labrador,200,-0.544,-0.936,0.561,-0.154
10020106,Newfoundland & Labrador,325,-0.46,-0.784,1.808,0.288
10020107,Newfoundland & Labrador,545,-0.432,-0.84,0.857,-0.256
10020108,Newfoundland & Labrador,255,-0.552,-0.942,1.022,0.087
10020110,Newfoundland & Labrador,680,-0.779,-0.821,0.006,-0.486
10020111,Newfoundland & Labrador,490,-0.756,-0.9,0.219,-0.315
10020112,Newfoundland & Labrador,580,-0.804,-0.886,0.143,-0.293
10020113,Newfoundland & Labrador,215,-0.501,-0.926,2.309,-0.528
10020114,Newfoundland & Labrador,470,-0.618,-1.001,1.731,0.06
10020115,Newfoundland & Labrador,185,0.118,-1.083,1.336,1.41
10020116,Newfoundland & Labrador,420,-0.669,-0.921,0.461,0.62
10020117,Newfoundland & Labrador,100,-0.362,-0.938,0.391,0.286
10020118,Newfoundland & Labrador,255,-0.527,-0.838,0.751,0.398
10020119,Newfoundland & Labrador,335,-0.495,-1.011,0.484,-0.048
10020120,Newfoundland & Labrador,480,-0.347,-0.883,1.171,0.711
10020122,Newfoundland & Labrador,230,-0.431,-1.141,1.416,0.27
10020123,Newfoundland & Labrador,340,-1.066,-0.79,0.439,0.344
10020124,Newfoundland & Labrador,240,-0.774,-0.583,1.345,1.251
10020125,Newfoundland & Labrador,245,-0.889,-0.994,1.192,0.617
10020126,Newfoundland & Labrador,50,-0.901,-1.208,2.16,1.253
10020127,Newfoundland & Labrador,205,-0.095,-1.069,2.312,1.093
10020128,Newfoundland & Labrador,470,-0.122,-0.904,2.467,0.423
10020129,Newfoundland & Labrador,360,-0.24,-1.003,1.857,1.019
10020130,Newfoundland & Labrador,450,-0.774,-0.994,0.943,-0.077
10020131,Newfoundland & Labrador,350,-0.966,-0.767,1.84,0.262
10020132,Newfoundland & Labrador,385,-0.703,-0.846,1.383,0.247
10020133,Newfoundland & Labrador,245,-0.503,-1.242,2.194,-0.35
10020134,Newfoundland & Labrador,385,0.421,-0.881,1.84,0.567
10020135,Newfoundland & Labrador,370,-0.159,-0.987,2.05,0.39
10020136,Newfoundland & Labrador,325,-0.656,-1.081,1.48,-0.16
10020137,Newfoundland & Labrador,170,-0.228,-1.046,1.264,-0.59
10030057,Newfoundland & Labrador,115,-0.44,-0.852,1.441,0.235
10030058,Newfoundland & Labrador,615,-0.914,-0.968,1.29,0.744
10030059,Newfoundland & Labrador,165,-0.827,-0.578,2.004,1.228
10030060,Newfoundland & Labrador,350,-0.226,-0.798,1.231,1.826
10030061,Newfoundland & Labrador,140,0.132,-0.929,1.296,-0.48
10030062,Newfoundland & Labrador,120,-1.253,-0.995,0.618,0.492
10030063,Newfoundland & Labrador,425,-0.813,-0.958,1.114,0.466
10030064,Newfoundland & Labrador,55,-0.349,-1.03,3.251,1.347
10030066,Newfoundland & Labrador,345,-0.674,-0.774,0.2,0.24
10030067,Newfoundland & Labrador,250,-0.479,-0.868,0.394,0.416
10030068,Newfoundland & Labrador,860,-0.662,-0.883,0.57,0.494
10030069,Newfoundland & Labrador,40,-1.243,-1.248,3.507,-1.06
10030070,Newfoundland & Labrador,145,-0.639,-0.965,0.622,0.94
10030071,Newfoundland & Labrador,100,-1.11,-0.902,1.236,0.755
10030072,Newfoundland & Labrador,370,-0.5,-1.155,3.803,0.233
10030073,Newfoundland & Labrador,80,-1.313,-0.64,0.992,1.681
10030074,Newfoundland & Labrador,440,-0.755,-1.065,2.318,0.455
10030075,Newfoundland & Labrador,265,-0.522,-1.088,2.089,0.276
10030076,Newfoundland & Labrador,375,-1.202,-0.975,1.721,0.886
10030077,Newfoundland & Labrador,60,-1.029,-1.098,1.587,1.225
10030079,Newfoundland & Labrador,375,-0.928,-0.979,1.944,0.418
10030080,Newfoundland & Labrador,215,-1.389,-0.819,0.985,-0.117
10030081,Newfoundland & Labrador,310,-1.606,-0.817,1.927,0.278
10030082,Newfoundland & Labrador,630,-1.11,-0.794,1.284,0.382
10030083,Newfoundland & Labrador,305,-0.573,-0.91,2.271,0.307
10030084,Newfoundland & Labrador,195,-0.953,-0.929,2.371,0.569
10030085,Newfoundland & Labrador,420,-0.573,-1.053,-0.075,-0.273
10030086,Newfoundland & Labrador,590,-0.348,-1.026,0.621,0.387
10030087,Newfoundland & Labrador,1005,-0.204,-0.947,2.038,0.169
10030088,Newfoundland & Labrador,315,-1.226,-0.905,1.344,-0.569
10030089,Newfoundland & Labrador,540,-0.225,-0.863,1.234,-0.053
10030090,Newfoundland & Labrador,290,0.426,-0.702,1.566,0.844
10030091,Newfoundland & Labrador,345,-0.528,-0.886,0.983,0.324
10030092,Newfoundland & Labrador,575,-0.82,-1.023,1.279,0.693
10030093,Newfoundland & Labrador,620,-0.955,-0.962,1.6,1.288
10030094,Newfoundland & Labrador,75,-0.318,-1.235,0.67,0.022
10030095,Newfoundland & Labrador,345,-0.829,-0.872,1.718,0.273
10030096,Newfoundland & Labrador,355,-0.911,-1.111,1.871,0.18
10030097,Newfoundland & Labrador,355,-1.006,-0.846,0.178,2.59
10030098,Newfoundland & Labrador,595,-0.774,-0.58,0.003,3.337
10040077,Newfoundland & Labrador,45,-0.435,-1.194,0.943,1.905
10040078,Newfoundland & Labrador,875,-0.207,-0.987,1.266,1.917
10040079,Newfoundland & Labrador,340,-0.63,-0.964,1.664,1.51
10040080,Newfoundland & Labrador,505,-0.697,-0.729,0.39,0.967
10040081,Newfoundland & Labrador,445,0.917,-0.83,0.744,1.202
10040082,Newfoundland & Labrador,330,1.047,-0.68,1.961,1.912
10040083,Newfoundland & Labrador,400,1.655,-0.386,2.425,2.05
10040084,Newfoundland & Labrador,330,0.276,-0.918,0.8,1.576
10040085,Newfoundland & Labrador,355,0.636,-0.876,0.866,1.816
10040086,Newfoundland & Labrador,460,-0.089,-0.807,0.821,1.699
10040087,Newfoundland & Labrador,520,-0.422,-0.905,0.702,1.58
10040088,Newfoundland & Labrador,435,0.262,-0.625,1.58,1.872
10040089,Newfoundland & Labrador,450,0.176,-0.826,1.727,1.437
10040090,Newfoundland & Labrador,465,0.018,-0.876,2.205,0.654
10040091,Newfoundland & Labrador,955,-0.88,-1.004,-0.119,0.579
10040092,Newfoundland & Labrador,460,-0.924,-0.995,0.526,0.817
10040093,Newfoundland & Labrador,385,-1.137,-1.006,0.297,0.722
10040094,Newfoundland & Labrador,370,-1.032,-1.057,0.992,1.116
10040095,Newfoundland & Labrador,580,-0.999,-1.022,0.335,0.809
10040096,Newfoundland & Labrador,435,-0.409,-0.897,1.888,1.698
10040097,Newfoundland & Labrador,360,-0.49,-1.127,1.853,0.644
10040098,Newfoundland & Labrador,75,2.332,-1.353,4.996,-0.393
10040099,Newfoundland & Labrador,615,2.538,-0.543,1.148,1.985
10040100,Newfoundland & Labrador,300,0.685,-0.661,1.948,2.355
10040101,Newfoundland & Labrador,335,-0.02,-0.984,1.443,2.425
10040102,Newfoundland & Labrador,365,-0.338,-0.839,2.111,2.013
10040103,Newfoundland & Labrador,320,0.084,-1.158,1.892,3.029
10040104,Newfoundland & Labrador,500,-1.041,-0.869,0.927,1.482
10040105,Newfoundland & Labrador,385,-1.372,-0.909,0.748,1.875
10040106,Newfoundland & Labrador,320,-0.889,-0.958,1.965,1.811
10040107,Newfoundland & Labrador,435,-0.455,-0.902,1.711,2.517
10040108,Newfoundland & Labrador,275,-0.584,-0.993,2.556,2.833
10040109,Newfoundland & Labrador,185,-0.743,-1.253,2.084,1.267
10040110,Newfoundland & Labrador,360,-0.998,-0.916,2.513,1.422
10040111,Newfoundland & Labrador,590,-0.546,-0.819,1.677,1.69
10040112,Newfoundland & Labrador,440,-0.311,-0.926,1.888,0.395
10040113,Newfoundland & Labrador,515,-0.295,-1.012,2.601,0.269
10040114,Newfoundland & Labrador,565,-0.6,-1.031,1.174,-0.324
10040115,Newfoundland & Labrador,595,-0.574,-0.958,1.69,2.432
10040116,Newfoundland & Labrador,825,-0.716,-0.854,1.782,2.794
10040117,Newfoundland & Labrador,210,-0.193,-0.84,2.707,2.428
10040118,Newfoundland & Labrador,305,-0.393,-0.594,1.711,3.203
10040119,Newfoundland & Labrador,355,-0.846,-0.921,1.781,1.802
10040120,Newfoundland & Labrador,490,-0.522,-0.853,1.43,2.6
10050076,Newfoundland & Labrador,335,-1.162,-0.962,1.965,0.927
10050077,Newfoundland & Labrador,470,-1.064,-0.925,2.85,0.69
10050078,Newfoundland & Labrador,465,-0.639,-0.715,1.158,1.397
10050079,Newfoundland & Labrador,145,-1.198,-0.96,2.929,0.82
10050080,Newfoundland & Labrador,500,-0.65,-0.897,0.554,0.782
10050081,Newfoundland & Labrador,615,-0.494,-0.725,0.877,0.786
10050082,Newfoundland & Labrador,555,0.335,-0.817,2.072,0.576
10050083,Newfoundland & Labrador,525,0.539,-0.489,0.87,0.812
10050084,Newfoundland & Labrador,450,-0.519,-0.98,0.665,0.48
10050085,Newfoundland & Labrador,425,-0.018,-0.848,0.965,0.543
10050086,Newfoundland & Labrador,315,-0.377,-0.902,1.509,0.205
10050087,Newfoundland & Labrador,405,-0.19,-0.864,0.915,1.129
10050088,Newfoundland & Labrador,405,-0.486,-0.867,0.81,0.365
10050089,Newfoundland & Labrador,990,-0.918,-0.912,0.91,-0.049
10050090,Newfoundland & Labrador,685,-0.33,-0.829,0.826,-0.095
10050092,Newfoundland & Labrador,750,-0.876,-0.905,-0.602,-0.01
10050093,Newfoundland & Labrador,640,-0.491,-0.89,0.832,-0.026
10050094,Newfoundland & Labrador,405,-0.676,-0.854,1.888,0.657
10050095,Newfoundland & Labrador,690,-0.418,-0.777,0.649,0.213
10050096,Newfoundland & Labrador,395,-0.778,-1.049,0.741,-0.49
10050097,Newfoundland & Labrador,630,-0.72,-1.028,-0.161,0.081
10050098,Newfoundland & Labrador,770,-0.683,-1.108,-0.492,-0.383
10050099,Newfoundland & Labrador,395,-0.908,-1.019,0.625,-0.443
10050101,Newfoundland & Labrador,1610,-0.63,-0.913,-1.33,-0.015
10050102,Newfoundland & Labrador,480,-0.489,-0.692,0.795,-0.178
10050103,Newfoundland & Labrador,400,-1.17,-0.977,1.305,-0.379
10050104,Newfoundland & Labrador,380,0.312,-0.722,0.74,-0.294
10050105,Newfoundland & Labrador,430,-0.233,-0.863,-0.187,0.238
10050106,Newfoundland & Labrador,595,0.393,-0.939,0.896,-0.13
10050107,Newfoundland & Labrador,415,0.886,-0.421,0.504,0.442
10050108,Newfoundland & Labrador,355,0.209,-0.993,-0.141,0.135
10050109,Newfoundland & Labrador,360,0.73,-0.91,1.386,0.861
10050110,Newfoundland & Labrador,345,-0.156,-1.165,1.088,0.169
10050111,Newfoundland & Labrador,405,0.352,-0.737,1.205,0.466
10050112,Newfoundland & Labrador,345,0.116,-0.939,0.293,0.922
10050113,Newfoundland & Labrador,365,0.019,-1.143,0.506,1.224
10050114,Newfoundland & Labrador,410,-0.192,-0.992,1.032,0.009
10050115,Newfoundland & Labrador,280,-0.373,-0.967,0.332,0.864
10050116,Newfoundland & Labrador,745,-0.609,-1.039,0.405,0.757
10050117,Newfoundland & Labrador,260,-1.232,-0.87,0.152,0.49
10050118,Newfoundland & Labrador,385,-1.449,-0.974,1.152,0.711
10050119,Newfoundland & Labrador,490,-0.461,-0.883,0.53,1.727
10050120,Newfoundland & Labrador,505,-0.963,-0.947,0.084,1.047
10050121,Newfoundland & Labrador,575,-0.853,-0.886,1.417,1.873
10050123,Newfoundland & Labrador,630,-0.519,-0.828,1.701,2.306
10050124,Newfoundland & Labrador,1060,-0.558,-0.96,0.685,1.874
10050125,Newfoundland & Labrador,325,-1.006,-0.897,0.038,1.986
10050126,Newfoundland & Labrador,150,-0.998,-1.171,0.233,2.647
10050127,Newfoundland & Labrador,700,-1.092,-0.889,0.455,0.556
10050129,Newfoundland & Labrador,400,-0.633,-1.138,1.259,0.483
10050130,Newfoundland & Labrador,240,-0.283,-0.964,-0.217,0.702
10050131,Newfoundland & Labrador,795,-0.745,-0.837,-0.72,0.382
10050132,Newfoundland & Labrador,500,-0.389,-0.894,0.249,0.318
10050134,Newfoundland & Labrador,345,-0.426,-0.904,0.963,0.451
10050135,Newfoundland & Labrador,340,-0.165,-0.769,1.051,0.955
10050136,Newfoundland & Labrador,450,0.446,-1.097,0.805,0.561
10050137,Newfoundland & Labrador,425,-0.34,-1.019,0.808,0.176
10050138,Newfoundland & Labrador,370,0.051,-0.914,1.39,0.327
10050139,Newfoundland & Labrador,425,0.009,-0.697,1.195,1.1
10050140,Newfoundland & Labrador,645,0.266,-0.889,0.494,0.855
10050141,Newfoundland & Labrador,385,0.713,-1.033,0.52,1.233
10050143,Newfoundland & Labrador,245,1.489,-1.144,6.432,0.206
10050144,Newfoundland & Labrador,495,0.4,-0.671,1.724,1.495
10050145,Newfoundland & Labrador,365,-0.327,-1.133,-0.27,0.806
10050146,Newfoundland & Labrador,270,0.34,-0.783,-0.022,1.165
10050147,Newfoundland & Labrador,365,-0.436,-1.064,0.897,0.288
10050148,Newfoundland & Labrador,620,-0.544,-0.904,0.208,0.212
10050149,Newfoundland & Labrador,475,0.713,-0.602,0.095,1.096
10050150,Newfoundland & Labrador,210,-1.226,-0.923,0.333,-0.43
10050151,Newfoundland & Labrador,295,-0.712,-0.93,1.128,1.195
10050152,Newfoundland & Labrador,165,-1.113,-0.96,3.731,0.224
10050153,Newfoundland & Labrador,405,-0.708,-0.917,1.36,0.997
10050154,Newfoundland & Labrador,440,-0.489,-1.099,1.76,0.709
10050155,Newfoundland & Labrador,275,0.158,-0.922,1.238,0.483
10050156,Newfoundland & Labrador,435,-0.288,-0.843,0.489,0.91
10050158,Newfoundland & Labrador,430,0.471,-1.035,-0.379,0.758
10050159,Newfoundland & Labrador,275,-0.1,-0.879,0.449,0.76
10050160,Newfoundland & Labrador,295,-1.106,-0.941,1.036,-0.134
10050161,Newfoundland & Labrador,1415,-0.524,-0.891,-1.003,-0.033
10050162,Newfoundland & Labrador,830,0.76,-0.708,0.733,1.454
10050163,Newfoundland & Labrador,920,1.306,-0.64,0.783,0.923
10060058,Newfoundland & Labrador,1220,-0.127,-0.703,0.346,-0.182
10060059,Newfoundland & Labrador,965,0.162,-0.891,0.788,-0.126
10060060,Newfoundland & Labrador,530,-0.536,-0.767,0.58,0.604
10060061,Newfoundland & Labrador,685,-0.365,-0.802,-0.571,0.362
10060062,Newfoundland & Labrador,655,-0.759,-0.89,-0.701,-0.411
10060064,Newfoundland & Labrador,520,0.382,-1.009,1.977,-0.334
10060065,Newfoundland & Labrador,440,-0.585,-0.914,0.598,-0.3
10060066,Newfoundland & Labrador,395,0.538,-0.868,-0.952,0.52
10060067,Newfoundland & Labrador,325,0.069,-0.734,0.563,-0.232
